depth,perft_avg_s,perft_std_s,alpha_beta_avg_s,alpha_beta_std_s,stockfish_avg_s,stockfish_std_s
1,0.000004,0.000003,0.000086,0.000020,0.000260,0.000046
2,0.000029,0.000018,0.000233,0.000116,0.000272,0.000053
3,0.000663,0.000597,0.001891,0.001869,0.000331,0.000067
4,0.021080,0.023726,0.026660,0.040937,0.000393,0.000121
