UpdatedFEN,depth_1,depth_2,depth_3,depth_4,depth_5
8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8 b - - 1 57,6,49,196,1255,5407
6k1/p3b2p/1p1pP3/2P3P1/2np3B/P6P/3Q3K/8 b - - 0 38,23,145,4276,29456,539030
4r1k1/ppq3pp/2p2p2/4r3/4p1Q1/P5RP/1P3PP1/3R2K1 w - - 4 35,40,416,10429,109265,2746755
2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,29,199,4119,38978,551001
4b1k1/4Pr2/3R2pp/1ppBP2q/8/PP4P1/2P4P/3R3K w - - 3 39,37,177,4840,21441,301911
5rk1/1p2p2p/p2p4/2pPb2R/2P1P3/1P1BKPrR/8/8 w - - 5 31,19,276,3857,36222,393280
4rk2/p4q2/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 w - - 1 44,32,259,5569,53368,685046
5kr1/ppR3p1/3R3p/1n6/1r6/8/1P3PPP/2K5 w - - 5 32,37,372,5230,59563,834340
r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33,27,493,8860,102499,2136094
5r2/pp1k4/4p1b1/3pP1Np/3P1P1K/8/P7/2R5 w - - 8 43,26,190,3214,21716,280862
r5k1/2p1pp2/pp4p1/1q5r/5P2/2QP2R1/PP6/1K4R1 w - - 1 33,40,400,11129,140008,3319420
8/5p1k/1P4pp/3Qn3/4BP2/6P1/1p2PK1P/2q5 b - - 2 34,34,177,3347,20550,273856
8/8/1p1k1p1p/3np3/2B2p2/PP1K1PP1/7P/8 w - - 0 37,14,99,1479,7206,98425
8/8/4Kpp1/7p/3N2kP/8/8/8 b - - 3 62,7,41,161,1453,5519
6r1/3k4/1K1P4/2P5/R7/5b2/8/8 w - - 1 69,20,358,3082,33217,295623
6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3r1NK1 w - - 0 28,32,186,1427,14864,90098
7r/pppk4/2pN1r2/8/3P2p1/2P5/PP2RPP1/4R1K1 b - - 0 26,34,111,1996,10885,128429
5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4K3 b - - 0 34,27,168,5025,29597,467217
1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 0 31,38,177,5809,12288,151863
6R1/p7/5k2/P7/6KP/8/8/5r2 b - - 6 53,17,118,1104,11380,82100
1r3k2/5p1p/2p1pp2/P2n4/r3N3/P4PK1/2R2P1P/2R5 w - - 10 30,30,606,6286,68833,532380
2r5/4ppkp/6p1/1p6/1P6/P3B3/1br2PPP/1R1R2K1 w - - 3 23,32,457,10684,116603,1019125
6R1/8/Kpk1p3/1p1pP3/6P1/PPr5/8/8 w - - 0 41,15,81,672,2695,23318
3N1r2/R7/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2K5 b - - 1 38,3,55,364,5141,38832
6k1/p4pp1/1p5p/4b3/4B3/4P1P1/P1R2PKP/1q1r4 w - - 0 31,29,586,9752,205335,2388693
3r2k1/1b4bR/p2P2p1/3p2N1/2p5/2P2N2/PP6/2K5 w - - 0 29,29,282,3818,19726,232971
8/4k1K1/4P3/6pp/6rP/4R1P1/8/8 b - - 1 60,13,79,481,3814,27594
4r1k1/p4p1p/1p6/6B1/3P2n1/P4Q2/1P4P1/7K b - - 0 34,29,395,3909,48308,463364
6k1/p4p2/1p5p/4r3/P3B3/1P2KP2/2P3PP/8 b - - 1 29,21,171,1093,8352,98861
1Q6/5ppp/8/8/8/2pk3P/3p2P1/3K4 b - - 0 52,12,71,495,4581,24685
2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/2R2RK1 b - - 1 31,49,568,18314,161680,4224522
5k2/p2r3p/1p4pP/3r1q2/4R3/2P5/PP3PQ1/K3R3 b - - 0 33,35,314,15532,25804,345811
7Q/2p5/1p2prp1/p4k1p/q4p1P/8/6RK/8 w - - 0 38,27,181,3418,15911,304291
6k1/4rRp1/p6p/7P/q1pP4/2Pb2Q1/P4RP1/6K1 b - - 0 31,37,286,8815,78007,2065436
1k6/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B2rNRK1 w - - 5 32,25,527,6517,118849,1568344
8/6pp/6k1/5pN1/5P2/5rPb/4R2P/6K1 b - - 1 35,18,128,776,8290,30661
8/4k3/1p1p4/rP2p1p1/P2nP1P1/3B4/3K4/R7 b - - 1 35,22,158,1901,5253,82038
8/6pp/3Bp2k/p2pP2P/P3p1PK/8/r4b2/5R2 w - - 3 38,3,34,336,1082,17999
Q4rk1/p1p3p1/6P1/8/3P4/7P/q3r3/B4RK1 w - - 2 35,30,378,3812,70306,482503
6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,27,344,3449,30777,263760
r7/6pk/p2Q4/2p1p1qp/1pP1PrP1/1P3P1P/1P4K1/R4R2 b - - 0 25,30,591,8213,83297,1999239
8/7k/R6p/3p4/5r2/2P1p2P/P5P1/6K1 b - - 0 40,21,235,2099,11523,102008
2r3k1/3R1ppp/p1q5/2p2Q2/P7/7P/5PP1/6K1 w - - 4 27,39,617,10574,78155,2258201
8/pp1r2kp/q2P1ppb/4N3/4P3/1Q5P/PPR2PP1/6K1 b - - 0 32,30,190,6422,30608,842542
