depth,sum,average,effective_branching_factor
depth_1,3765,37.6,37.65
depth_2,15328,153.3,4.07
depth_3,171138,1711.4,11.17
depth_4,668564,6685.6,3.91
depth_5,5550050,55500.5,8.30
depth_6,20405412,204054.1,3.68
depth_7,150737624,1507376.2,7.39
