depth,perft_avg_s,perft_std_s,alpha_beta_avg_s,alpha_beta_std_s,stockfish_avg_s,stockfish_std_s
1,0.000005,0.000004,0.000694,0.005488,0.000295,0.000060
2,0.000054,0.000014,0.000541,0.000208,0.000320,0.000068
3,0.001963,0.000710,0.006878,0.006080,0.000378,0.000082
4,0.070525,0.031624,0.091411,0.070639,0.000410,0.000132
