depth,perft_avg_s,perft_std_s,alpha_beta_avg_s,alpha_beta_std_s,alpha_beta_avg_nodes,alpha_beta_std_nodes,stockfish_avg_s,stockfish_std_s,stockfish_avg_nodes,stockfish_std_nodes
1,0.000006,0.000026,0.000798,0.004733,38.8,8.3,0.000458,0.000211,425.3,342.0
2,0.000043,0.000016,0.000603,0.000270,143.3,51.3,0.000475,0.000144,1001.8,1772.8
3,0.001378,0.000501,0.001514,0.001042,1626.8,613.1,0.000492,0.000111,1407.1,761.4
4,0.050384,0.023109,0.005794,0.004837,6244.6,2987.8,0.000514,0.000093,1706.7,889.6
