depth,perft_avg_s,perft_std_s,perft_avg_nodes,perft_std_nodes,alpha_beta_avg_s,alpha_beta_std_s,alpha_beta_avg_nodes,alpha_beta_std_nodes,stockfish_avg_s,stockfish_std_s,stockfish_avg_nodes,stockfish_std_nodes
1,0.000003,0.000005,37.8,8.3,0.010556,0.104337,38.8,8.3,0.003011,0.002511,242037.0,421137.9
2,0.000040,0.000012,1355.3,369.5,0.000391,0.000818,143.3,51.3,0.003660,0.004930,395710.0,969801.9
3,0.001253,0.000496,51929.2,19472.5,0.002488,0.012446,1626.8,613.1,0.002723,0.001819,216634.9,340701.8
4,0.042886,0.019223,1930645.4,875752.6,0.006589,0.003370,6244.6,2987.8,0.003124,0.003339,244881.6,442457.7
5,,,,,0.027110,0.014602,55783.9,30674.4,0.003928,0.007513,299715.2,581742.8
