depth,perft_avg_s,perft_std_s,perft_avg_nodes,perft_std_nodes,alpha_beta_avg_s,alpha_beta_std_s,alpha_beta_avg_nodes,alpha_beta_std_nodes,stockfish_avg_s,stockfish_std_s,stockfish_avg_nodes,stockfish_std_nodes
1,0.000003,0.000002,36.6,10.0,0.000359,0.001252,37.6,10.0,0.000414,0.000054,464.1,312.7
2,0.000039,0.000013,1384.1,453.5,0.000550,0.000179,153.5,64.2,0.000446,0.000096,899.1,636.6
3,0.001277,0.000500,52429.8,21269.6,0.001657,0.000923,1708.1,895.4,0.000556,0.000381,1364.2,1838.9
4,0.049509,0.024603,2018318.7,968119.9,0.006593,0.004703,6687.5,4452.9,0.000523,0.000130,2052.2,1114.5
5,,,,,0.025800,0.022187,55558.4,37853.6,0.000616,0.000245,3107.6,1813.1
