depth,perft_avg_s,perft_std_s,perft_avg_nodes,perft_std_nodes,alpha_beta_avg_s,alpha_beta_std_s,alpha_beta_avg_nodes,alpha_beta_std_nodes,stockfish_avg_s,stockfish_std_s,stockfish_avg_nodes,stockfish_std_nodes
1,0.000005,0.000005,36.6,10.0,0.000978,0.008771,37.6,10.0,0.003451,0.005718,237049.9,532569.4
2,0.000042,0.000014,1384.1,453.5,0.000248,0.000059,153.5,64.2,0.002962,0.003267,167486.1,258309.1
3,0.001210,0.000473,52429.8,21269.6,0.000864,0.001024,1708.1,895.4,0.003342,0.008025,236357.9,901314.8
4,0.043952,0.020715,2018318.7,968119.9,0.007039,0.002636,6687.5,4452.9,0.005127,0.007677,577360.8,1143985.2
5,,,,,0.024337,0.012039,55558.4,37853.6,0.004294,0.008068,345105.9,817474.6
