UpdatedFEN,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7
rnbqk1nr/ppppbppp/4p3/8/5PP1/5N2/PPPPP2P/RNBQKB1R b KQkq - 0 3,29,222,1644,5096,31817,138176,1074139
1rb2rk1/4bppp/p1n1p3/1pq1P3/7N/P5P1/1PQ2PBP/R1B2RK1 w - - 2 16,39,104,1241,2940,39110,90771,1082149
rnb2rk1/5ppp/p2q4/1p1P4/2pN2n1/2N5/PP2BPPP/R2Q1RK1 b - - 1 14,43,155,1763,6366,58847,241592,1722920
r3k1nr/pp3ppp/1q2b3/8/1n1B4/6P1/P2QPPBP/R3K1NR b KQkq - 0 13,44,168,2176,8385,48402,94194,1069548
r2qkb1r/1Q1npppp/B2pb3/8/4P3/5N2/PPP2PPP/R1B1K2R b KQkq - 0 9,30,105,1649,9939,54536,352338,1184394
r1br1N1k/ppp2Bbn/2n4p/q7/3P4/2N5/PPP2PPP/R1B2RK1 w - - 0 16,40,118,1630,4645,53970,194735,1681827
rnbq1rk1/pp2b2p/4p2Q/3p1p2/2pP4/P1N5/1PP1PPPP/2KR1BNR b - - 0 11,29,200,2513,7910,91776,467404,3434012
rnbqk1nr/ppp1b1pp/3p4/4N3/2B1P3/8/PPPP2PP/RNBQK2R b KQkq - 0 6,29,89,1103,5097,44310,259085,1853482
r2q1b1r/pp3kpp/3pbn2/3Q4/2n1P3/5N2/PP3PPP/RNB1K2R w KQ - 2 11,46,103,2038,4291,55425,206676,2623147
r1b1k2r/p1p2ppp/1pN2n2/2n5/2B1P3/P1b5/1PP2PPP/R1BR2K1 w kq - 0 14,48,126,2291,8229,117607,340136,4928710
r2q1k1r/p1p2ppp/1p6/8/1Q1n2b1/5NP1/PP1N1PP1/3RKB1R b K - 3 15,6,132,500,4228,18452,128433,479312
r2qk1nr/pbpp1pbp/1p2p1p1/3Pn1B1/2P1P3/3B1N2/PP3PPP/RN1Q1RK1 b kq - 1 8,35,109,1228,3780,38134,128329,1041943
r2q1k1r/pbp1bppp/1p2p3/1B1nN3/3P1Q2/8/PPP2PPP/R1B2RK1 w - - 6 13,46,122,1747,3714,56262,116081,1748296
rnb1k2r/p1p2ppp/1p3n2/2b3B1/3qP3/3P1N2/PPP3PP/RN1QKB1R b KQkq - 2 8,51,168,2014,6066,64765,196218,1888418
r1b1k1nr/pppp1ppp/5q2/2b1N3/4P3/2N5/PPPP2PP/R1BQKB1R b KQkq - 0 6,45,115,2014,7818,76828,251518,2715025
rn1qk2r/ppp2ppp/3p2b1/2bP4/2P1P1P1/P1N1p2P/1P2P1B1/R1BQK1NR b KQkq - 0 10,32,135,1761,6353,46470,226208,1949804
Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N4P/PPPP2P1/R1B1KBNR b KQk - 0 9,55,133,2460,6121,79270,255658,1850756
r2qkb1r/pp2pppp/3p1n2/4n3/4b1PN/2PB3P/PP3P2/RNBQK2R w KQkq - 0 12,40,121,1500,4390,39270,127200,1166049
rnbqk2r/ppp3pp/5n2/3P1p2/1b2pB2/2N5/PP3PPP/R2QKBNR w KQkq - 1 8,43,303,1880,10926,60138,273989,1941997
r2q1rk1/p1p1bpp1/2p1bn1p/8/2PP3B/1PNB1P2/P5PP/R2Q1RK1 b - - 0 14,36,112,1281,4064,39302,142742,1118740
r1bq3k/pppnp2r/5nQb/3p2N1/8/3B4/PPPP1PPP/RNB1K2R b KQ - 3 11,29,94,1051,6017,33561,125324,590189
2rq1rk1/pb2bppp/np2p3/3pP3/3P4/P1nQB3/1P1N1PPP/1BR2RK1 w - - 0 17,37,104,1439,5775,59923,196738,1698484
r2q1rk1/2p1nppp/pbn5/1p1pP3/3P4/2NQ1b2/PPB2PPP/R1B2RK1 w - - 0 13,42,112,1777,7585,83240,300295,2873120
r1bqk2r/ppp2ppp/3p4/4p3/2PBP2b/5Pn1/PP4PP/RN1QKB1R w KQkq - 0 10,32,96,390,1804,8358,58679,216392
1r1qkb1r/pQpbpppp/2n2n2/1N6/2pP4/8/PP2PPPP/R1B1KBNR w KQk - 3 8,37,126,1174,2468,30753,67169,786834
1rbqk2r/1p3ppp/p3pn2/8/1b1P4/2N2N1P/PP3PP1/R2QKB1R w KQk - 0 11,33,139,726,7066,18818,232524,853073
r2q1rk1/1ppb1ppp/1p1p1n2/4p3/1PBnP3/P1PP1N1P/5PP1/R1BQK2R b KQ - 0 11,44,90,1842,6157,64843,202379,1873483
r1bqr1k1/p4pPp/2p1p3/2bp3Q/8/2Nn4/PPP3PP/R1B2R1K w - - 0 16,46,122,2010,6569,88812,244708,3106481
3rkb1r/pppqp1pp/2n5/1QN2p2/8/1P2P3/PBP2PPP/R3KB1R b KQk - 1 12,29,224,1283,9163,41577,322706,1080690
r1b1qr2/pp2b1pk/2n1pp2/3p4/2pP3N/2P1P1P1/PP1N1PP1/R2QK2R w KQ - 1 14,36,179,2236,6252,77755,212702,1806346
rn2kb1r/pbqp1ppp/1p2p3/3nP3/2BP4/2N2N2/PP2QPPP/R1B1K2R b KQkq - 1 9,37,110,1280,5501,33017,141769,945528
