depth,sum,average,effective_branching_factor
depth_1,3883,38.8,38.83
depth_2,14317,143.2,3.69
depth_3,162839,1628.4,11.37
depth_4,624047,6240.5,3.83
depth_5,5583494,55834.9,8.95
depth_6,20878125,208781.2,3.74
depth_7,176940967,1769409.7,8.47
